Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
6137,090040016400006000001050230600029000050000020000160005036080100000300008280090050,0.3664,3572,3519,0,3.7581,801,1168,0,0.4033,102,56,0
6138,000000000004080100020090030050000080037401590009050700010206070060070010092010360,3.4147,36857,36805,0,34.5747,7548,11069,0,0.1664,52,0,0
6139,200080700090600032800073090070040000005000100000030020020310005560004010004090008,0.4487,3641,3588,0,2.9036,640,973,0,0.3903,110,63,0
6140,001000400007864900409070605100000002000706000003040800030000080000090000208000304,1.8404,13289,13234,0,17.4703,3774,5236,0,5.8319,1388,1463,0
6141,004060200000904000600070005005000300020000090940080026003020700800000009000801000,3.6273,33877,33820,0,27.3710,5455,8169,0,0.6709,163,119,0
6142,021006080650080019000000007400605000010000030000109005200000000140020098080900450,3.6959,30726,30673,0,19.0351,4031,6220,0,0.2379,69,18,0
6143,004702300000050000019000650000000000097000480500020006100080004006904800000605000,8.5967,80156,80100,0,44.6639,9190,13855,0,0.7132,168,125,0
6144,500020001021080940030000070700060008000308000000402000004000100050000080390050062,0.0135,151,96,0,0.3225,78,40,0,0.1912,55,0,0
6145,040000086600004509009000100060080000500309008000020060005000600906200004310000050,6.5383,58343,58288,0,88.0355,18664,26201,0,4.6126,1079,1106,0
6146,090000080000040000248000739070000050000070000005602900004107300500000006706000801,0.7232,6915,6860,0,2.2802,470,707,0,0.8850,216,181,0
6147,000001000005400300032090680400308020007000500050907006014060970008009400000100000,0.3130,3215,3162,0,5.4512,1180,1652,0,0.4326,114,64,0
6148,080000150000206000000580260040000009009851400800000070038069000000305000024000090,0.9939,9044,8990,0,7.2526,1449,2308,0,0.1853,54,0,0
6149,200078000001006000007030020000000804640020093703000000050090400000400600000380001,0.0180,191,135,0,0.4310,104,75,0,1.3197,304,287,0
6150,098060017400000000017000005000038004020070060300690000100000670000000001780010590,0.5955,5095,5041,0,5.6274,1248,1813,0,1.5578,361,331,0
6151,008010600100000002200504009000805000020000070001090500050402030800000004030000080,1.2493,10949,10892,0,11.5220,2316,3462,0,3.6453,830,834,0
6152,000003280780690000100000006300100600000308000001007009500000007000086042043900000,3.5434,29537,29482,0,20.0321,4004,6319,0,0.3341,95,43,0
6153,000004050490685002008270009200000073000802000860000001100046900900328016080900000,0.0352,298,249,0,0.5887,158,155,0,0.5872,149,110,0
6154,050001020120080094000730000400000800019000240007000009000093000930010052040500030,0.0598,515,462,0,0.7678,189,213,0,0.1779,56,4,0
6155,005079200000064000900300005670000100310000058004000096800005001000630000006490500,1.7568,15300,15247,0,10.7429,2262,3364,0,0.6594,173,129,0
6156,300070008000000000005804700000030000907105802400000005003020500010603080206708301,27.1637,262584,262532,0,165.4175,37713,58956,0,1.3672,341,315,0
6157,680001400070300000052040030000004020008000600030100000060050210000009040004800057,2.9920,26112,26057,0,21.9209,4386,6773,0,0.8981,221,177,0
6158,000064000000000080004800370091008740430090051062500890059007100070000000000980000,0.4691,5843,5791,0,6.2259,1327,1819,0,0.6725,177,138,0
6159,708400009000901400010380006040000961007000200691000070100043090003209000900008602,0.7303,6363,6314,0,8.4566,1938,2763,0,2.3706,632,633,0
6160,008001009000400200000007083300010060140806097090040008810600000003005000700100800,2.8315,27174,27121,0,43.4226,9358,13131,0,0.8133,207,169,0
6161,100200000009001052000090008930050800500020001007010049300080000780900600000007004,0.9839,9447,9393,0,7.5750,1560,2324,0,0.9624,247,207,0
